PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
59,0,1,"Moran, Mr. William Henry",female,32.4,0,0,563997,58.0579,,S
60,0,3,"Braund, Master. Gosta Leonard",female,57.7,1,0,STON/O2. 193192,18.613,,S
61,0,2,"Allen, Mr. William Henry",female,30.6,1,0,STON/O2. 22172,22.7401,,C
62,0,3,"McCarthy, Mrs. Jacques Heath",male,50.7,0,1,997121,13.3521,,S
63,1,3,"Moran, Mrs. Jacques Heath",male,31.4,0,0,A/5 582780,14.7045,,Q
64,0,3,"Heikkinen, Mr. Timothy J",male,45.1,0,0,STON/O2. 514319,19.4967,,S
65,0,1,"Palsson, Mrs. Jacques Heath",male,43.4,1,0,STON/O2. 877031,80.116,D27,C
66,0,3,"Cumings, Mrs. Nicholas",male,,0,0,223320,13.3802,C81,S
67,0,2,"Heikkinen, Mr. Owen Harris",female,,0,0,STON/O2. 12046,31.3817,,C
68,1,1,"Palsson, Miss. Laina",male,25.2,1,0,379165,70.7365,,C
69,0,1,"Nasser, Mr. Timothy J",male,,1,0,PC 709662,108.7256,,S
70,1,3,"Nasser, Mr. William Henry",male,,0,1,STON/O2. 986751,9.4741,,S
71,1,3,"Nasser, Mr. William Henry",female,22.9,1,2,PC 646188,10.0889,,S
72,0,1,"McCarthy, Mrs. Oscar W",male,,0,0,416008,79.838,,S
73,0,3,"Allen, Mr. Owen Harris",male,4.8,1,0,PC 762379,16.6069,,S
74,1,1,"Nasser, Mrs. Nicholas",male,,0,0,STON/O2. 245883,131.7673,D62,S
75,1,3,"Braund, Mrs. John Bradley",female,41.4,0,0,STON/O2. 461514,13.6758,B12,S
76,1,1,"Moran, Mrs. Oscar W",male,27.1,1,0,672210,24.0065,,S
77,1,3,"Palsson, Mr. William Henry",female,31.8,0,0,A/5 122789,17.4201,,C
78,0,2,"Braund, Mr. Timothy J",female,,0,0,STON/O2. 701780,44.5384,,S
79,0,3,"Allen, Mr. James",male,22.2,1,0,STON/O2. 67017,13.7607,,Q
80,0,1,"McCarthy, Miss. Laina",male,47.7,1,0,A/5 689281,15.6493,,S
81,1,2,"Nasser, Miss. Laina",female,42.7,0,0,PC 657884,21.6965,,S
82,1,1,"Allen, Mr. James",male,33.6,1,0,A/5 802480,83.8795,,S
83,0,3,"Johnson, Mr. William Henry",male,28.8,0,0,694264,12.3902,,S
84,0,3,"Braund, Mrs. Jacques Heath",female,,0,0,A/5 559296,19.6179,,C
85,0,2,"Allen, Mrs. Nicholas",female,25.1,0,0,A/5 731026,33.7827,,S
86,0,3,"Nasser, Mr. William Henry",female,5.7,0,1,56337,17.7851,,C
87,1,3,"McCarthy, Mrs. Jacques Heath",female,28.9,1,0,A/5 276494,12.0686,,S
88,1,3,"Braund, Mr. William Henry",male,34.6,0,0,STON/O2. 46186,20.8798,,S
89,1,3,"McCarthy, Mrs. Nicholas",male,44.7,0,0,PC 428236,2.5432,A81,S
90,0,2,"Nasser, Mr. James",female,8.8,0,0,500883,12.8394,,S
91,0,1,"Allen, Mrs. Jacques Heath",male,,2,0,STON/O2. 741829,59.8149,,S
92,1,3,"Cumings, Mrs. Jacques Heath",male,27.9,0,0,PC 614217,12.7833,,S
93,1,3,"Nasser, Mrs. Nicholas",female,13.6,0,1,576762,16.5471,F41,S
94,0,3,"Heikkinen, Mrs. Nicholas",male,35.8,0,1,A/5 126995,11.595,,S
95,1,2,"Braund, Master. Gosta Leonard",male,39.5,0,0,STON/O2. 332770,10.9396,D50,S
96,0,2,"Allen, Mrs. Jacques Heath",male,,0,0,A/5 429988,29.7485,,S
97,0,3,"Palsson, Mr. Timothy J",male,57.8,1,0,A/5 181553,11.3518,,S
98,0,3,"Cumings, Mr. Owen Harris",male,24.5,2,0,A/5 881438,13.7149,,S
99,0,3,"Futrelle, Master. Gosta Leonard",male,22.7,0,2,A/5 320278,16.8575,,S
100,0,3,"Cumings, Miss. Laina",male,,1,0,657701,13.2721,F95,S
